"","Area","Velocity","Points","Class","State"
"289",0.797731548,0.19466361,0.593442623,2,NA
"291",0.700330822,0.17177019,0.698360657,2,NA
"293",0.677413754,0.197142553,0.652459017,2,NA
"294",0.770268656,0.174019665,0.573770492,2,NA
"295",0.526117781,0.194996222,0.586885246,2,NA
"296",0.553695353,0.247473541,0.419672131,2,NA
"297",0.602624281,0.234251357,0.655737706,2,NA
"298",0.597277284,0.181389274,0.518032787,2,NA
"299",0.60858291,0.167785802,0.708196722,2,NA
"301",0.742079451,0.164284688,0.649180329,2,NA
"302",0.649645046,0.222000353,0.540983607,2,NA
"304",0.704150334,0.16884622,0.763934427,2,NA
"305",0.400617047,0.226543341,0.488524591,2,NA
"307",0.613283234,0.185965871,0.259016394,2,NA
"309",0.371709494,0.210440068,0.596721312,2,NA
"310",0.563435267,0.144384772,0.459016394,2,NA
"311",0.359263429,0.243373263,0.547540984,2,NA
"312",0.932077046,0.192401387,0.616393443,2,NA
"313",0.607147806,0.192912473,0.504918034,2,NA
"314",0.638022455,0.179650885,0.432786886,2,NA
"316",0.362883842,0.229245957,0.383606558,2,NA
"317",0.185523447,0.210329969,0.655737706,2,NA
"318",0.654858249,0.176270299,0.436065574,2,NA
"319",0.505667944,0.217076076,0.531147542,2,NA
"322",0.490477502,0.19539721,0.406557378,2,NA
"323",0.475342808,0.197958436,0.265573771,2,NA
"324",0.504591218,0.235175021,0.55737705,2,NA
"325",0.274004546,0.248561773,0.560655738,2,NA
"326",0.14193403,0.193158166,0.642622951,2,NA
"327",0.719079558,0.151863321,0.583606558,2,NA
"329",0.170898445,0.198952795,1.029508197,2,NA
"330",0.249461239,0.159832094,0.898360657,2,NA
"332",0.174526822,0.239770162,0.104918033,2,NA
"333",0.102709495,0.246709809,0.177049181,2,NA
"334",0.060253987,0.185861569,0.75737705,2,NA
"335",0.782904262,0.187179267,0.777049181,2,NA
"336",0.857328985,0.263058776,0.488524591,2,NA
"337",0.608208604,0.218936153,0.183606558,2,NA
"338",0.324056391,0.240437703,0.442622951,2,NA
"340",0.543418669,0.176361853,0.508196722,2,NA
"344",0.149019399,0.244435997,0.596721312,2,NA
"346",1,0.212840203,0.626229509,2,NA
"347",0.337706604,0.243647927,0.373770492,2,NA
"349",0.498083077,0.177037508,0.51147541,2,NA
"350",0.333990625,0.220164613,0.685245902,2,NA
"353",0.407329066,0.210667217,0.390163935,2,NA
"355",0.619135147,0.166754359,0.53442623,2,NA
"356",0.378021722,0.224639226,0.465573771,2,NA
"357",0.334060707,0.19238748,0.409836066,2,NA
"358",0.261252666,0.216434031,0.521311476,2,NA
"360",0.141652106,0.196062434,0.616393443,2,NA
"362",0.735799079,0.17840504,0.452459017,2,NA
"363",0.205753478,0.212869176,0.567213115,2,NA
"367",0.177457556,0.160467186,0.606557378,2,NA
"368",0.597317104,0.239706421,0.462295083,2,NA
"369",0.254379775,0.222295878,0.586885246,2,NA
"370",0.533648493,0.215014347,0.255737705,2,NA
"371",0.289633005,0.203684689,0.51147541,2,NA
"372",0.478176382,0.194395898,0.488524591,2,NA
"375",0.495931217,0.254334382,0.33442623,2,NA
"376",0.20761545,0.215889337,0.688524591,2,NA
"377",0.573829817,0.172633589,0.521311476,2,NA
"379",0.004927027,0.224832766,0.373770492,2,NA
"380",0.579054169,0.199040873,0.436065574,2,NA
"382",0.065283222,0.256057705,0.616393443,2,NA
"383",0.592135757,0.189810029,0.586885246,2,NA
"385",0.222906237,0.203615153,0.600000001,2,NA
"388",0.577676406,0.206547235,0.501639345,2,NA
"389",0.537023616,0.184754795,0.481967214,2,NA
"390",0.488914975,0.162364348,0.524590164,2,NA
"391",0.429908462,0.147122155,0.531147542,2,NA
"393",0.738693179,0.16791792,0.590163935,2,NA
"394",0.612536216,0.162941493,0.51147541,2,NA
"395",0.677297481,0.151913155,0.642622951,2,NA
"397",0.668900289,0.166265292,0.537704919,2,NA
"399",0.30744518,0.164597597,0.521311476,2,NA
"400",0.622166226,0.159417199,0.485245902,2,NA
"402",0.579340871,0.196420541,0.426229508,2,NA
"404",0.700176322,0.177463992,0.508196722,2,NA
"405",0.718928243,0.156395879,0.675409837,2,NA
"406",0.478343625,0.193530181,0.583606558,2,NA
"408",0.722077189,0.196871363,0.652459017,2,NA
"410",0.622201268,0.171290394,0.452459017,2,NA
"411",0.622274536,0.194952183,0.71147541,2,NA
"412",0.668645443,0.185424653,0.596721312,2,NA
"413",0.783979395,0.170088589,0.606557378,2,NA
"415",0.598672569,0.17371255,0.573770492,2,NA
"418",0.607143028,0.241246633,0.481967214,2,NA
"419",0.6059118,0.189371955,0.632786886,2,NA
